dteday,hr,cnt,temp,weathersit
2011-01-01,0,16,0.24,1
2011-01-01,1,40,0.22,1
2011-01-01,2,32,0.22,1
2011-01-01,3,13,0.24,1
2011-01-01,4,1,0.24,1
2011-01-01,5,1,0.24,2
2011-01-01,6,2,0.22,1
2011-01-01,7,3,0.2,1
2011-01-01,8,8,0.24,1
2011-01-01,9,14,0.32,1
2011-01-01,10,36,0.38,1
2011-01-01,11,56,0.36,1
2011-01-01,12,84,0.42,1
2011-01-01,13,94,0.46,2
2011-01-01,14,106,0.46,2
2011-01-01,15,110,0.44,2
2011-01-01,16,93,0.42,2
2011-01-01,17,67,0.44,2
2011-01-01,18,35,0.42,3
2011-01-01,19,37,0.42,3
2011-01-01,20,36,0.4,2
2011-01-01,21,34,0.4,2
2011-01-01,22,28,0.4,2
2011-01-01,23,39,0.46,2
2011-01-02,0,17,0.46,2
2011-01-02,1,17,0.44,2
2011-01-02,2,9,0.42,2
2011-01-02,3,6,0.46,2
2011-01-02,4,3,0.46,2
2011-01-02,6,2,0.42,3
2011-01-02,7,1,0.4,2
2011-01-02,8,8,0.4,3
2011-01-02,9,20,0.38,2
2011-01-02,10,53,0.36,2
2011-01-02,11,70,0.36,2
2011-01-02,12,93,0.36,2
2011-01-02,13,75,0.36,2
2011-01-02,14,59,0.36,3
2011-01-02,15,74,0.34,3
2011-01-02,16,76,0.34,3
2011-01-02,17,65,0.34,1
2011-01-02,18,53,0.36,2
2011-01-02,19,30,0.32,1
2011-01-02,20,22,0.3,1
2011-01-02,21,31,0.26,1
2011-01-02,22,9,0.24,1
2011-01-02,23,8,0.22,1
2011-01-03,0,5,0.22,1
2011-01-03,1,2,0.2,1
2011-01-03,4,1,0.16,1
2011-01-03,5,3,0.16,1
2011-01-03,6,30,0.14,1
2011-01-03,7,64,0.14,1
2011-01-03,8,154,0.14,1
2011-01-03,9,88,0.16,1
2011-01-03,10,44,0.18,1
2011-01-03,11,51,0.2,1
2011-01-03,12,61,0.22,1
2011-01-03,13,61,0.24,1
2011-01-03,14,77,0.26,1
2011-01-03,15,72,0.26,1
2011-01-03,16,76,0.26,1
2011-01-03,17,157,0.24,1
2011-01-03,18,157,0.24,1
2011-01-03,19,110,0.2,1
2011-01-03,20,52,0.2,1
2011-01-03,21,52,0.18,1
2011-01-03,22,20,0.14,1
2011-01-03,23,12,0.18,1
2011-01-04,0,5,0.16,1
2011-01-04,1,2,0.16,1
2011-01-04,2,1,0.14,1
2011-01-04,4,2,0.14,1
2011-01-04,5,4,0.12,1
2011-01-04,6,36,0.12,1
2011-01-04,7,94,0.12,1
2011-01-04,8,179,0.14,1
2011-01-04,9,100,0.16,1
2011-01-04,10,42,0.16,2
2011-01-04,11,57,0.22,1
2011-01-04,12,78,0.22,1
2011-01-04,13,97,0.24,1
2011-01-04,14,63,0.26,1
2011-01-04,15,65,0.28,1
2011-01-04,16,83,0.3,1
2011-01-04,17,212,0.28,1
2011-01-04,18,182,0.26,1
2011-01-04,19,112,0.24,1
2011-01-04,20,54,0.24,1
2011-01-04,21,48,0.22,1
2011-01-04,22,35,0.22,1
2011-01-04,23,11,0.2,1
2011-01-05,0,6,0.2,1
2011-01-05,1,6,0.16,1
2011-01-05,2,2,0.16,1
2011-01-05,4,2,0.24,1
2011-01-05,5,3,0.22,1
2011-01-05,6,33,0.2,1
2011-01-05,7,88,0.18,1
2011-01-05,8,195,0.2,1
2011-01-05,9,115,0.22,1
2011-01-05,10,57,0.22,1
2011-01-05,11,46,0.26,1
2011-01-05,12,79,0.26,1
2011-01-05,13,71,0.28,1
2011-01-05,14,62,0.3,1
2011-01-05,15,62,0.3,1
2011-01-05,16,89,0.3,1
2011-01-05,17,190,0.24,1
2011-01-05,18,169,0.24,1
2011-01-05,19,132,0.24,1
2011-01-05,20,89,0.22,1
2011-01-05,21,43,0.2,1
2011-01-05,22,42,0.18,1
2011-01-05,23,19,0.2,1
2011-01-06,0,11,0.18,1
2011-01-06,1,4,0.16,1
2011-01-06,2,2,0.16,1
2011-01-06,4,1,0.16,2
2011-01-06,5,4,0.14,2
2011-01-06,6,36,0.14,2
2011-01-06,7,95,0.16,2
2011-01-06,8,219,0.16,1
2011-01-06,9,122,0.18,2
2011-01-06,10,45,0.2,1
2011-01-06,11,59,0.22,1
2011-01-06,12,84,0.26,1
2011-01-06,13,67,0.26,1
2011-01-06,14,70,0.28,1
2011-01-06,15,62,0.28,1
2011-01-06,16,86,0.26,1
2011-01-06,17,172,0.22,1
2011-01-06,18,163,0.22,1
2011-01-06,19,112,0.22,1
2011-01-06,20,69,0.2,1
2011-01-06,21,48,0.22,2
2011-01-06,22,52,0.22,2
2011-01-06,23,23,0.2,2
2011-01-07,0,17,0.2,2
2011-01-07,1,7,0.2,2
2011-01-07,2,1,0.2,2
2011-01-07,4,1,0.2,2
2011-01-07,5,5,0.22,3
2011-01-07,6,34,0.2,2
2011-01-07,7,84,0.2,1
2011-01-07,8,210,0.2,1
2011-01-07,9,134,0.2,1
2011-01-07,10,63,0.22,1
2011-01-07,11,67,0.2,2
2011-01-07,12,59,0.2,2
2011-01-07,13,73,0.2,2
2011-01-07,14,50,0.2,2
2011-01-07,15,72,0.2,2
2011-01-07,16,87,0.2,2
2011-01-07,17,187,0.2,2
2011-01-07,18,123,0.2,1
2011-01-07,19,95,0.16,1
2011-01-07,20,51,0.18,1
2011-01-07,21,39,0.18,1
2011-01-07,22,36,0.18,2
2011-01-07,23,15,0.18,2
2011-01-08,0,25,0.18,2
2011-01-08,1,16,0.18,2
2011-01-08,2,16,0.18,2
2011-01-08,3,7,0.18,3
2011-01-08,4,1,0.18,3
2011-01-08,5,5,0.16,2
2011-01-08,6,2,0.16,2
2011-01-08,7,9,0.16,2
2011-01-08,8,15,0.16,3
2011-01-08,9,20,0.16,3
2011-01-08,10,61,0.18,2
2011-01-08,11,62,0.2,2
2011-01-08,12,98,0.2,2
2011-01-08,13,102,0.2,1
2011-01-08,14,95,0.2,1
2011-01-08,15,74,0.2,1
2011-01-08,16,76,0.18,1
2011-01-08,17,69,0.16,1
2011-01-08,18,55,0.14,1
2011-01-08,19,30,0.14,1
2011-01-08,20,28,0.12,1
2011-01-08,21,37,0.12,1
2011-01-08,22,34,0.12,1
2011-01-08,23,22,0.1,1
2011-01-09,0,25,0.1,1
2011-01-09,1,12,0.1,1
2011-01-09,2,11,0.1,1
2011-01-09,3,4,0.1,1
2011-01-09,4,1,0.08,1
2011-01-09,5,1,0.08,1
2011-01-09,6,1,0.1,1
2011-01-09,7,6,0.08,1
2011-01-09,8,10,0.1,1
2011-01-09,9,19,0.12,1
2011-01-09,10,49,0.14,1
2011-01-09,11,49,0.16,1
2011-01-09,12,83,0.18,1
2011-01-09,13,75,0.2,1
2011-01-09,14,72,0.22,1
2011-01-09,15,82,0.22,1
2011-01-09,16,92,0.2,1
2011-01-09,17,62,0.18,1
2011-01-09,18,48,0.16,1
2011-01-09,19,41,0.16,1
2011-01-09,20,38,0.14,1
2011-01-09,21,20,0.14,1
2011-01-09,22,15,0.14,1
2011-01-09,23,6,0.12,1
2011-01-10,0,5,0.12,1
2011-01-10,1,1,0.12,1
2011-01-10,2,3,0.12,1
2011-01-10,3,1,0.12,1
2011-01-10,4,3,0.1,1
2011-01-10,5,3,0.1,1
2011-01-10,6,31,0.12,1
2011-01-10,7,77,0.12,1
2011-01-10,8,188,0.12,2
2011-01-10,9,94,0.14,2
2011-01-10,10,31,0.14,2
2011-01-10,11,30,0.16,2
2011-01-10,12,52,0.2,2
2011-01-10,13,54,0.2,2
2011-01-10,14,47,0.2,2
2011-01-10,15,45,0.2,2
2011-01-10,16,74,0.2,1
2011-01-10,17,178,0.2,1
2011-01-10,18,155,0.2,1
2011-01-10,19,95,0.16,1
2011-01-10,20,74,0.16,1
2011-01-10,21,38,0.14,1
2011-01-10,22,24,0.14,1
2011-01-10,23,18,0.14,1
2011-01-11,0,12,0.14,1
2011-01-11,1,3,0.14,1
2011-01-11,2,3,0.16,2
2011-01-11,5,6,0.16,2
2011-01-11,6,27,0.16,2
2011-01-11,7,99,0.16,2
2011-01-11,8,217,0.18,2
2011-01-11,9,130,0.18,2
2011-01-11,10,54,0.2,2
2011-01-11,11,35,0.2,2
2011-01-11,12,57,0.2,2
2011-01-11,13,52,0.2,2
2011-01-11,14,63,0.2,2
2011-01-11,15,47,0.16,2
2011-01-11,16,76,0.16,2
2011-01-11,17,136,0.16,2
2011-01-11,18,95,0.16,3
2011-01-11,19,51,0.16,3
2011-01-11,20,32,0.16,3
2011-01-11,21,20,0.16,3
2011-01-11,22,29,0.16,3
2011-01-11,23,19,0.16,3
2011-01-12,0,7,0.16,2
2011-01-12,1,6,0.16,2
2011-01-12,2,1,0.14,1
2011-01-12,5,5,0.14,1
2011-01-12,6,16,0.12,1
2011-01-12,7,54,0.14,1
2011-01-12,8,128,0.16,1
2011-01-12,9,81,0.16,1
2011-01-12,10,39,0.18,1
2011-01-12,11,35,0.2,1
2011-01-12,12,55,0.2,1
2011-01-12,13,49,0.22,1
2011-01-12,14,44,0.2,1
2011-01-12,15,49,0.2,1
2011-01-12,16,68,0.22,1
2011-01-12,17,139,0.2,1
2011-01-12,18,137,0.2,1
2011-01-12,19,83,0.18,1
2011-01-12,20,56,0.16,1
2011-01-12,21,57,0.16,1
2011-01-12,22,33,0.16,1
2011-01-12,23,20,0.14,1
2011-01-13,0,7,0.14,1
2011-01-13,1,2,0.14,1
2011-01-13,2,2,0.14,1
2011-01-13,3,3,0.14,1
2011-01-13,4,4,0.14,1
2011-01-13,5,3,0.14,1
2011-01-13,6,28,0.12,1
2011-01-13,7,72,0.12,1
2011-01-13,8,202,0.14,1
2011-01-13,9,139,0.14,1
2011-01-13,10,38,0.16,2
2011-01-13,11,37,0.2,2
2011-01-13,12,52,0.2,1
2011-01-13,13,83,0.22,1
2011-01-13,14,42,0.22,1
2011-01-13,15,60,0.24,1
2011-01-13,16,78,0.24,1
2011-01-13,17,162,0.2,1
2011-01-13,18,144,0.2,1
2011-01-13,19,99,0.16,1
2011-01-13,20,64,0.16,1
2011-01-13,21,40,0.14,1
2011-01-13,22,30,0.14,1
2011-01-13,23,15,0.12,1
2011-01-14,0,14,0.12,1
2011-01-14,1,5,0.1,1
2011-01-14,2,1,0.1,1
2011-01-14,3,1,0.1,1
2011-01-14,5,8,0.1,1
2011-01-14,6,17,0.1,1
2011-01-14,7,70,0.1,1
2011-01-14,8,158,0.12,1
2011-01-14,9,117,0.14,1
2011-01-14,10,44,0.18,1
2011-01-14,11,53,0.18,1
2011-01-14,12,61,0.2,1
2011-01-14,13,77,0.22,1
2011-01-14,14,64,0.22,1
2011-01-14,15,68,0.24,1
2011-01-14,16,90,0.22,1
2011-01-14,17,159,0.22,1
2011-01-14,18,139,0.2,1
2011-01-14,19,92,0.16,1
2011-01-14,20,68,0.18,1
2011-01-14,21,52,0.16,1
2011-01-14,22,36,0.16,2
2011-01-14,23,27,0.18,2
2011-01-15,0,28,0.18,1
2011-01-15,1,20,0.16,2
2011-01-15,2,12,0.16,2
2011-01-15,3,8,0.16,2
2011-01-15,4,5,0.16,2
2011-01-15,5,1,0.16,1
2011-01-15,6,3,0.14,1
2011-01-15,7,10,0.14,1
2011-01-15,8,23,0.14,1
2011-01-15,9,33,0.16,1
2011-01-15,10,59,0.18,1
2011-01-15,11,72,0.2,1
2011-01-15,12,89,0.24,1
2011-01-15,13,101,0.28,1
2011-01-15,14,118,0.3,1
2011-01-15,15,129,0.32,2
2011-01-15,16,128,0.34,2
2011-01-15,17,83,0.32,2
2011-01-15,18,84,0.3,2
2011-01-15,19,74,0.32,2
2011-01-15,20,41,0.32,2
2011-01-15,21,57,0.32,2
2011-01-15,22,26,0.3,2
2011-01-15,23,44,0.3,1
2011-01-16,0,39,0.26,1
2011-01-16,1,23,0.26,1
2011-01-16,2,16,0.26,1
2011-01-16,3,15,0.22,1
2011-01-16,4,1,0.26,1
2011-01-16,5,2,0.26,2
2011-01-16,6,1,0.26,2
2011-01-16,7,3,0.24,2
2011-01-16,8,18,0.22,1
2011-01-16,9,32,0.22,1
2011-01-16,10,79,0.22,1
2011-01-16,11,93,0.24,1
2011-01-16,12,104,0.24,1
2011-01-16,13,118,0.26,1
2011-01-16,14,91,0.28,1
2011-01-16,15,113,0.26,1
2011-01-16,16,99,0.24,1
2011-01-16,17,105,0.22,1
2011-01-16,18,67,0.2,1
2011-01-16,19,61,0.18,1
2011-01-16,20,57,0.18,1
2011-01-16,21,28,0.18,1
2011-01-16,22,21,0.2,2
2011-01-16,23,18,0.2,2
2011-01-17,0,17,0.2,2
2011-01-17,1,16,0.2,2
2011-01-17,2,8,0.18,2
2011-01-17,3,2,0.18,2
2011-01-17,4,3,0.18,2
2011-01-17,5,1,0.18,2
2011-01-17,6,5,0.18,2
2011-01-17,7,13,0.16,2
2011-01-17,8,33,0.16,2
2011-01-17,9,47,0.16,2
2011-01-17,10,57,0.16,2
2011-01-17,11,64,0.16,2
2011-01-17,12,80,0.18,2
2011-01-17,13,93,0.18,2
2011-01-17,14,86,0.18,2
2011-01-17,15,93,0.2,2
2011-01-17,16,82,0.2,2
2011-01-17,17,71,0.2,1
2011-01-17,18,92,0.18,2
2011-01-17,19,60,0.18,3
2011-01-17,20,33,0.16,3
2011-01-17,21,27,0.16,3
2011-01-17,22,13,0.14,3
2011-01-17,23,4,0.16,3
2011-01-18,12,3,0.2,2
2011-01-18,13,22,0.2,2
2011-01-18,14,28,0.22,2
2011-01-18,15,35,0.22,2
2011-01-18,16,61,0.22,2
2011-01-18,17,125,0.22,2
2011-01-18,18,133,0.22,2
2011-01-18,19,99,0.22,2
2011-01-18,20,83,0.22,2
2011-01-18,21,41,0.22,2
2011-01-18,22,33,0.22,2
2011-01-18,23,20,0.22,2
2011-01-19,0,3,0.22,2
2011-01-19,1,7,0.22,3
2011-01-19,2,3,0.22,3
2011-01-19,4,2,0.22,3
2011-01-19,5,7,0.22,2
2011-01-19,6,32,0.22,2
2011-01-19,7,90,0.24,2
2011-01-19,8,197,0.24,2
2011-01-19,9,109,0.24,2
2011-01-19,10,47,0.26,2
2011-01-19,11,52,0.28,2
2011-01-19,12,70,0.3,2
2011-01-19,13,78,0.4,1
2011-01-19,14,75,0.4,1
2011-01-19,15,82,0.4,1
2011-01-19,16,104,0.38,1
2011-01-19,17,197,0.36,1
2011-01-19,18,161,0.34,1
2011-01-19,19,112,0.32,1
2011-01-19,20,76,0.32,1
2011-01-19,21,59,0.32,1
2011-01-19,22,59,0.3,1
2011-01-19,23,28,0.3,1
2011-01-20,0,13,0.26,1
2011-01-20,1,5,0.26,1
2011-01-20,2,2,0.26,1
2011-01-20,3,1,0.26,1
2011-01-20,4,1,0.26,1
2011-01-20,5,6,0.24,1
2011-01-20,6,35,0.22,1
2011-01-20,7,101,0.22,1
2011-01-20,8,249,0.22,1
2011-01-20,9,143,0.24,2
2011-01-20,10,57,0.26,1
2011-01-20,11,68,0.28,2
2011-01-20,12,84,0.3,2
2011-01-20,13,98,0.28,2
2011-01-20,14,81,0.3,2
2011-01-20,15,70,0.32,2
2011-01-20,16,91,0.3,2
2011-01-20,17,215,0.3,2
2011-01-20,18,185,0.26,2
2011-01-20,19,152,0.26,1
2011-01-20,20,126,0.26,2
2011-01-20,21,57,0.24,2
2011-01-20,22,56,0.24,2
2011-01-20,23,31,0.24,2
2011-01-21,0,21,0.24,2
2011-01-21,1,6,0.24,2
2011-01-21,2,2,0.24,3
2011-01-21,3,1,0.22,3
2011-01-21,4,1,0.22,2
2011-01-21,5,5,0.24,1
2011-01-21,6,27,0.22,1
2011-01-21,7,68,0.2,1
2011-01-21,8,217,0.2,1
2011-01-21,9,166,0.2,1
2011-01-21,10,63,0.2,1
2011-01-21,11,59,0.22,1
2011-01-21,12,78,0.22,1
2011-01-21,13,73,0.2,1
2011-01-21,14,62,0.2,1
2011-01-21,15,65,0.16,1
2011-01-21,16,97,0.16,1
2011-01-21,17,161,0.14,1
2011-01-21,18,120,0.12,1
2011-01-21,19,96,0.12,1
